
/// npc                 spawnX    spawnY   height      walk      maxhit      attack     defence      description
//home 
spawn = 4398	1810	3783	0	0	0	0	0	Wizard
//wildycave
spawn = 6609	3312	3840	0	0	60	280	250	Callisto
spawn = 2098	3043	10319	0	0	10	80	80	HillGiant
spawn = 2098	3046	10316	0	0	10	80	80	HillGiant
spawn = 291	3046	10308	0	0	14	90	100	Dwarf
spawn = 291	3045	10312	0	0	14	90	100	Dwarf
//kraken
spawn = 3998	3278	3630	0	4	30	250	250	Kraken
spawn = 497	3275	3630	0	4	10	125	125	Kraken Tentacle
spawn = 497	3277	3634	0	4	10	125	125	Kraken Tentacle
spawn = 497	3281	3632	0	4	10	125	125	Kraken Tentacle
spawn = 497	3277	3627	0	4	10	125	125	Kraken Tentacle
//Venenatis
spawn = 6610	3236	3755	0	1	50	250	340	Venenatis
//Vetion
spawn = 6611	3183	3794	0	1	46	350	450	Vetion

/*Giant moles*/
spawn = 5779	3086	3910	0	0	32	300	200	Giant mole
spawn = 5779	3082	3914	0	0	32	300	200	Giant mole
spawn = 5779	3077	3913	0	0	32	300	200	Giant mole
spawn = 5779	3079	3907	0	0	32	300	200	Giant mole

//END EDGEVILLE HOME
//DONOR SLAYER CAVE
spawn = 424	3555	9925	0	0	8	82	50	Dustdevil
spawn = 424	3555	9928	0	0	8	82	50	Dustdevil
spawn = 424	3552	9929	0	0	8	82	50	Dustdevil
spawn = 424	3550	9931	0	0	8	82	50	Dustdevil
spawn = 424	3556	9928	0	0	8	82	50	Dustdevil
spawn = 415	3568	9953	0	0	20	100	90	AbyssalDemon
spawn = 415	3570	9956	0	1	20	100	90	AbyssalDemon
spawn = 415	3573	9958	0	1	20	100	90	AbyssalDemon
spawn = 415	3567	9959	0	1	20	100	90	AbyssalDemon
spawn = 415	3565	9962	0	1	20	100	90	AbyssalDemon
spawn = 11	3552	9959	0	1	11	88	50	Nechryael
spawn = 11	3552	9955	0	1	11	88	50	Nechryael
spawn = 11	3548	9955	0	1	11	88	50	Nechryael
spawn = 11	3547	9958	0	1	11	88	50	Nechryael
spawn = 4005	3564	9950	0	0	17	250	200	Dark Beast
spawn = 4005	3561	9947	0	0	17	250	200	Dark Beast
spawn = 4005	3558	3561	0	0	17	250	200	Dark Beast
spawn = 4005	3561	9943	0	0	17	250	200	Dark Beast
spawn = 3209	3554	9947	0	0	14	120	140	CaveHorror
spawn = 3209	3556	9944	0	0	14	120	140	CaveHorror
spawn = 3209	3554	9943	0	0	14	120	140	CaveHorror
spawn = 3209	3554	9941	0	0	14	120	140	CaveHorror
spawn = 411	3537	9928	0	0	18	200	200	Kurask
spawn = 411	3533	9926	0	0	18	200	200	Kurask
spawn = 411	3530	9932	0	0	18	200	200	Kurask
spawn = 411	3525	9932	0	0	18	200	200	Kurask

//skill
spawn = 506	3363	9633	0	1	0	0	0	General store	
spawn = 506	3029	3383	0	0	0	0	0	skillgen
spawn = 4065	2336	3694	0	1	0	0	0	fishman
spawn = 5809	2333	3688	0	4	0	0	0	1	crafttanner
//FISH
spawn = 3913	3022	3379	0	0	0	0	0	1	skill spot
spawn = 3417	3021	3383	0	0	0	0	0	1	skill spot
spawn = 3657	3018	3383	0	0	0	0	0	1	skill spot
