5529	10818	10816
941	536	1753
55	1751	536
3068	6812
82	592
83	592
2349	592
5422	592
2881	6729	6155
2882	6729	6155
2883	6729	6155
1692	526
1615	592
1624	526
1613	592
1618	526
1643	592
1600	526
1338	526
84	592
19	526
20	526
21	526
23	526
24	526
26	532
119	526
117	532
116	532
115	532
114	532
113	532
111	532
110	532
112	532
4292	532
2783	526
90	526
49	526
1183	526
54	536	1747
50	536	1747
53	536	1749
78	526
181	526
178	526
127	526
52	534
119	526
122	526
1	526
2	526
100	526
101	526
102	526
912	526
913	526
914	526
1115	532
6265	526
6263	526
6261	526
6260	4834
6222	532
6252	526
6250	526
6248	526
6247	526
6227	526
6225	526
6223	526
9	526
1590	536	2349
1591	536	2351
1592	536	2353
5363	536	2359
5362	536	1753
73	526
5902	4286
41	1944
934	528
3348	526
3350	526
3349	526
1092	526
655	772
1317	526
1318	526
803	526
52	534
51	534
4278	1075	1117	1155
4279	1067	1115	1153
4280	1069	1119	1157
4281	1077	1125	1165
4282	1071	1121	1159
4283	1091	1123	1161
4284	1079	1127	1163
2552	7815	2136
3246	5976	526
3250	5976	526
3261	5976	526
753	546	548	526
205	1033	1035	526
105	948	526
142	958	526
141	958	532
3847	401
6218	9016	526
5903	4286
795	7748
81	1739	2132
78	530
119	11783
